X, Y
335, 1.1331269511150044
340, 1.1332444814307623
345, 1.1358847700050552
350, 1.1397362709618557
355, 1.1291982237193965
360, 1.0977746533852866
365.00000000000006, 1.1381720118985745
370, 1.1904722701873593
375, 1.2340459757418145
380, 1.230688285037326
385, 1.2214374413846594
390, 1.3430978493210874
395.00000000000006, 1.4068528185069207
400, 1.4231455468725391
405.00000000000006, 1.4248953715344914
410, 1.7075366601160384
415.00000000000006, 2.012754059960434
420, 2.0287542572247927
425, 2.0372143535188494
430.00000000000006, 1.840943025643222
435.00000000000006, 1.6611600896578773
440.00000000000006, 1.6656113873503644
445, 1.662415854424184
450, 1.4575008083758139
455, 1.3390747439207633
460.0000000000001, 1.3265935684053956
465.00000000000006, 1.3026039139037993
470, 1.2186836537119357
475, 1.1833189945846634
480, 1.1703957314831692
485.00000000000006, 1.1316536702286077
490.00000000000006, 1.1332344187227452
495, 1.1027160470423683
500, 1.0845413740413337
505, 1.085208383339773
510, 1.0647613436485805
515, 1.0956384809815995
520, 1.1345981597275374
525, 1.0710987572375066
530, 1.0426354337883064
535, 1.0141723388424468
540, 1.0120485607197676
545, 1.0112232789516877
550.0000000000001, 1.025807089326781
555, 1.080602964074532
560.0000000000001, 1.1089843986116854
565, 1.0703234216773447
570, 1.0385983299217214
575, 1.0357252980887397
580, 1.0362641952794602
585, 1.0370836814296895
590, 1.0491285618881125
595, 1.086307251893512
600, 1.1578188503791083
605, 1.0945213832814957
610, 1.037030741890609
615, 1.066752100191744
620, 1.0651037150167033
625.0000000000001, 1.085941954865011
630, 1.0812345079764043
635.0000000000001, 1.1003414466674224
640, 1.121798711504617
645.0000000000001, 1.0938939360744708
650, 1.107641833247456
655, 1.1360879071418193
660.0000000000001, 1.154758187732539
665, 1.181242531830346
670, 1.1929425485165188
675.0000000000001, 1.228165416222808
680.0000000000001, 1.2302209465252023
685.0000000000001, 1.2591409310770345
690, 1.2951412165802338
695.0000000000001, 1.3289270506553708
700, 1.3266954300256222
705.0000000000001, 1.3231269635819078
710.0000000000001, 1.625703412687158
715, 1.9102528414615811
720.0000000000001, 1.9394206195212265
725.0000000000001, 2.3070684003507678
730.0000000000001, 3.017209158025638
735.0000000000001, 3.9587932070708822
740, 4.392854386240782
745.0000000000001, 5.067828363945981
750, 5.918407556671351
755.0000000000001, 6.9430750995450286
760.0000000000002, 7.4182312178544425
765.0000000000001, 7.354693750397433
770.0000000000001, 6.899309083282119
775.0000000000001, 6.519409673397507
780.0000000000001, 6.380694602288752
785.0000000000001, 5.670288609784285
790.0000000000001, 4.658845000728996
795.0000000000001, 3.405236775987988
800.0000000000001, 2.9416896238506896
801.4733953326948, 2.5927965911062847
805.7232651854517, 2.1913807176415396
809.9474269408007, 2.0041132955852774
817.548989993123, 1.683093069739642
822.6327662555512, 1.3352368037122506
792.8884975545172, 4.104995083326371
